Song	Genre	Youtube	Tags	Map	Mapper	Likes/Days
Geoxor – Gloom [Wallmap] V2	-	https://www.youtube.com/watch?v=JSSbGI3Qhbs	-	https://bsaber.com/songs/d7fa/	https://bsaber.com/tag/minething	=(58-0)/3
[FUTURE FUNK PACK] Shiawase No Monosashi (VANTAGE // Short Ver.)	-	https://www.youtube.com/watch?v=spN2_Tuw9hE	FUTURE FUNK, J-POP, JAPANESE	https://bsaber.com/songs/d4a5/	https://bsaber.com/tag/etan	=(53-1)/7
[FUTURE FUNK PACK] You Look So Good – Moe Shop	-	https://www.youtube.com/watch?v=sZwN9kPzpWA	80'S, ELECTRO HOUSE, FUTURE FUNK, JAPANESE	https://bsaber.com/songs/d60c/	https://bsaber.com/tag/etan	=(29-0)/5
[FUTURE FUNK PACK] Idolstep Dreaming – Mikazuki BIGWAVE	-	https://www.youtube.com/watch?v=bzyxi-6hTkY	80'S, FUTURE FUNK, J-POP, JAPANESE	https://bsaber.com/songs/d565/	https://bsaber.com/tag/etan	=(29-0)/6
[FUTURE FUNK PACK] September – Tenma Tenma	-	https://www.youtube.com/watch?v=6VsJgk5Qw6s	80'S, FUTURE FUNK, J-POP, JAPANESE	https://bsaber.com/songs/d55f/	https://bsaber.com/tag/etan	=(39-1)/6
Elektronomia – Summer Vibes	-	https://www.youtube.com/watch?v=gPmjeUHI3cs	-	https://bsaber.com/songs/d51e/	https://bsaber.com/tag/weldonwen	=(39-1)/6
Skrillex – Fuji Opener (Virtual Riot & Xomega Remix)	-	https://www.youtube.com/watch?v=EzG5segvGwE	-	https://bsaber.com/songs/d6a6/	https://bsaber.com/tag/pkdan	=(39-1)/4
[FUTURE FUNK PACK] Megumi no Hito (Night Tempo Showa Groove Mix)	-	https://www.youtube.com/watch?v=RAwBZRg69QY	80'S, FUTURE FUNK, J-POP, JAPANESE	https://bsaber.com/songs/d4a4/	https://bsaber.com/tag/etan	=(37-1)/7
Twice – LIKEY	-	https://www.youtube.com/watch?v=V2hlQkVJZhE	-	https://bsaber.com/songs/d771/	https://bsaber.com/tag/simplymarvellous	=(24-0)/3
Starlight – B3LLA (feat. Reichuu)	-	https://www.youtube.com/watch?v=iFj15hw7bxE	-	https://bsaber.com/songs/d7c7/	https://bsaber.com/tag/minething	=(23-0)/3
Laur – Metamorphose	-	https://www.youtube.com/watch?v=kFTH7lVxX-Q	-	https://bsaber.com/songs/d762/	https://bsaber.com/tag/riseumuruq	=(21-0)/3
Don’t Stop – KUURO	-	https://www.youtube.com/watch?v=HkCsiBwQ2lk	-	https://bsaber.com/songs/d608/	https://bsaber.com/tag/timeweaver	=(20-0)/1
[Extra Sensory] LeaF – Doppelganger	-	https://www.youtube.com/watch?v=hQ6XfTG2vHM	-	https://bsaber.com/songs/d53c/	https://bsaber.com/tag/aeroluna	=(177-28)/6
City Lights (somunia nyankobrq Remix)	-	https://www.youtube.com/watch?v=dWRz2ZR-Tfw	-	https://bsaber.com/songs/d6b2/	https://bsaber.com/tag/mux	=(16-0)/4
Coffin Dance (Camellia Remix)	-	https://www.youtube.com/watch?v=PqJTTEqB5WU	-	https://bsaber.com/songs/d574/	https://bsaber.com/tag/that_narwhal	=(36-3)/6
Knife Party – Bonfire	-	https://www.youtube.com/watch?v=e-IWRmpefzE	-	https://bsaber.com/songs/d79d/	https://bsaber.com/tag/slimyblob	=(14-0)/3
[FUTURE FUNK PACK] Tokyo Chopp ft. Shiki(TMNS) (Moe Shop Remix)	-	https://www.youtube.com/watch?v=B33EyOOaGwM	80'S, ELECTRO HOUSE, FUTURE FUNK, JAPANESE, RAP	https://bsaber.com/songs/d60d/	https://bsaber.com/tag/etan	=(14-0)/5
Precious Summer !	-	https://www.youtube.com/watch?v=G0tiGcIWJ9w	-	https://bsaber.com/songs/d610/	https://bsaber.com/tag/emir	=(13-0)/5
Dream X Scramble	-	https://www.youtube.com/watch?v=Cq9cM0D_fZU	-	https://bsaber.com/songs/d4b7/	https://bsaber.com/tag/epg7ens	=(11-0)/7
DenporuP – World on Color – feat. Hatsune Miku	-	https://www.youtube.com/watch?v=3iMdlFaiO4s	-	https://bsaber.com/songs/d523/	https://bsaber.com/tag/fefy	=(11-0)/6
